Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
bmg2024amys,2024-01-08T02:06:55.179943Z,1.219488502,98.80791473,2.985750929,MLv,52,46,47.48095703,"Northern Sumatra, Indonesia",BMKG
bmg2024amxf,2024-01-08T01:21:10.998042Z,4.848169804,96.08506775,4.493748816,MLv,10,53,62.18690491,"Northern Sumatra, Indonesia",BMKG
bmg2024amtg,2024-01-07T23:21:24.287198Z,-7.060954571,105.3399353,3.551724324,MLv,10,42,225.6590271,"Java, Indonesia",BMKG
bmg2024amte,2024-01-07T23:19:08.156442Z,-2.347887039,100.7542572,3.348261074,MLv,35,43,89.5994873,"Southern Sumatra, Indonesia",BMKG
bmg2024ameg,2024-01-07T15:46:21.53202Z,-5.752380371,103.6422348,3.24313813,MLv,29,31,207.7639694,"Southern Sumatra, Indonesia",BMKG
bmg2024alof,2024-01-07T07:40:25.746086Z,-2.974659443,101.5498657,4.03744755,MLv,10,73,132.9884796,"Southern Sumatra, Indonesia",BMKG
bmg2024alfw,2024-01-07T03:27:38.113817Z,-0.3594225645,98.80064392,3.985953203,MLv,13,61,72.51312256,"Southern Sumatra, Indonesia",BMKG
bmg2024alfd,2024-01-07T03:05:44.078895Z,3.446308851,96.49885559,3.970839643,MLv,13,50,99.17044067,"Northern Sumatra, Indonesia",BMKG
bmg2024alay,2024-01-07T00:58:04.968962Z,4.998541832,95.98900604,2.363308643,M,12,18,85.50635529,"Northern Sumatra, Indonesia",BMKG
bmg2024akst,2024-01-06T20:49:55.05856Z,-1.093986511,102.260849,3.391758769,M,10,64,156.1371384,"Southern Sumatra, Indonesia",BMKG
bmg2024aiko,2024-01-05T14:25:29.291577Z,5.66966486,95.34017944,2.974994446,MLv,10,18,122.1007462,"Northern Sumatra, Indonesia",BMKG
bmg2024aijp,2024-01-05T13:55:40.175001Z,0.1872830689,96.59702301,4.141304058,MLv,21,46,226.948967,Off West Coast of Northern Sumatra,BMKG
bmg2024ahqg,2024-01-05T04:09:47.706713Z,-0.2504909337,100.4008713,2.217378494,MLv,15,17,110.0375137,"Southern Sumatra, Indonesia",BMKG
bmg2024ahgx,2024-01-04T23:25:58.821592Z,2.888154268,96.56938171,3.527423544,MLv,13,54,66.41595459,"Northern Sumatra, Indonesia",BMKG
bmg2024agyx,2024-01-04T19:24:24.291851Z,-3.142493725,102.2269745,3.25322803,MLv,10,33,126.7003632,"Southern Sumatra, Indonesia",BMKG
bmg2024agtz,2024-01-04T16:54:57.600465Z,1.368924618,97.02022552,2.906541577,MLv,11,12,191.5193329,"Northern Sumatra, Indonesia",BMKG
bmg2024agou,2024-01-04T14:17:05.406204Z,0.2604562938,98.48529816,2.69944066,M,11,23,81.84500122,"Northern Sumatra, Indonesia",BMKG
bmg2024agmv,2024-01-04T13:17:20.841644Z,4.544597149,96.44940948,3.155953804,MLv,10,26,78.42051697,"Northern Sumatra, Indonesia",BMKG
bmg2024afkw,2024-01-03T23:10:01.187778Z,4.933031559,95.95960999,2.942048768,MLv,10,28,77.05533218,"Northern Sumatra, Indonesia",BMKG
bmg2024afkb,2024-01-03T22:44:29.094759Z,-7.148950577,105.5665054,3.140824367,MLv,14,16,250.8748779,"Java, Indonesia",BMKG
bmg2024afez,2024-01-03T20:11:16.231709Z,-5.105087757,102.9687576,4.617466391,MLv,31,75,191.6047592,"Southern Sumatra, Indonesia",BMKG
bmg2024afcz,2024-01-03T19:11:17.731768Z,0.5998763442,100.3868484,4.666972401,MLv,213,161,80.72357941,"Northern Sumatra, Indonesia",BMKG
bmg2024aetr,2024-01-03T14:29:00.899449Z,-0.7871249914,100.0246201,3.257321154,MLv,68,73,31.64979553,"Southern Sumatra, Indonesia",BMKG
bmg2024aees,2024-01-03T06:55:40.980177Z,1.640232563,99.41401672,3.424308118,MLv,156,59,138.2941589,"Northern Sumatra, Indonesia",BMKG
bmg2024adpf,2024-01-02T23:05:01.446807Z,0.01488850918,99.38622284,3.125998779,MLv,12,36,61.40361023,"Northern Sumatra, Indonesia",BMKG
bmg2024adol,2024-01-02T22:41:55.063389Z,4.773422241,96.18429565,3.487977184,MLv,10,29,89.50898743,"Northern Sumatra, Indonesia",BMKG
